QuarterID,GameID,Number,Name,AwayScore,HomeScore
55226,14120,4,4,27,30
55227,14123,1,1,34,33
55228,14123,2,2,32,34
55229,14123,3,3,40,36
55230,14123,4,4,24,24
55231,14121,1,1,34,16
55232,14121,2,2,33,27
55233,14121,3,3,18,24
55234,14121,4,4,31,41
55235,14122,1,1,22,29
55236,14122,2,2,30,30
55237,14122,3,3,28,28
55238,14122,4,4,24,28
55239,14124,1,1,26,29
55240,14124,2,2,16,37
55241,14124,3,3,29,45
55242,14124,4,4,30,32
55243,14126,1,1,28,30
55244,14126,2,2,23,35
55245,14126,3,3,21,25
55246,14126,4,4,37,23
55247,14125,1,1,13,27
55248,14125,2,2,21,18
55249,14125,3,3,23,25
55250,14125,4,4,35,26
55251,14127,1,1,23,31
55252,14127,2,2,28,24
55253,14127,3,3,33,25
55254,14127,4,4,35,42
55255,14128,1,1,30,23
55256,14128,2,2,22,22
55257,14128,3,3,30,28
55258,14128,4,4,18,25
55259,14130,1,1,34,23
55260,14130,2,2,22,26
55261,14130,3,3,13,25
55262,14130,4,4,47,41
55263,14129,1,1,25,24
55264,14129,2,2,20,31
55265,14129,3,3,40,28
55266,14129,4,4,21,28
55267,14131,1,1,26,27
55268,14131,2,2,26,34
55269,14131,3,3,35,29
55270,14131,4,4,32,26
55271,14133,1,1,13,28
55272,14133,2,2,22,27
55273,14133,3,3,24,37
55274,14133,4,4,27,21
55275,14132,1,1,32,16
55276,14132,2,2,36,27
55277,14132,3,3,21,28
55278,14132,4,4,22,33
55279,14134,1,1,19,19
55280,14134,2,2,23,30
55281,14134,3,3,27,27
55282,14134,4,4,35,34
55283,14135,1,1,25,35
55284,14135,2,2,30,28
55285,14135,3,3,30,21
55286,14135,4,4,24,24
55287,14136,1,1,24,27
55288,14136,2,2,23,27
55289,14136,3,3,22,23
55290,14136,4,4,21,27
55291,14137,1,1,31,44
55292,14137,2,2,23,30
55293,14137,3,3,34,24
55294,14137,4,4,32,30
55295,14138,1,1,45,29
55296,14138,2,2,33,31
55297,14138,3,3,27,35
55298,14138,4,4,32,28
55299,14140,1,1,24,27
55300,14139,1,1,29,22
55301,14139,2,2,23,24
55302,14139,3,3,30,26
55303,14139,4,4,21,29
