QuarterID,GameID,Number,Name,AwayScore,HomeScore
63968,17925,1,1,25,19
63969,17925,2,2,32,30
63970,17925,3,3,27,32
63971,17925,4,4,39,16
63972,17985,1,1,25,28
63973,17985,2,2,29,39
63974,17985,3,3,23,33
63975,17985,4,4,30,23
63976,17926,1,1,32,33
63977,17926,2,2,26,41
63978,17926,3,3,24,25
63979,17926,4,4,17,26
63980,17960,1,1,20,21
63981,17960,2,2,32,29
63982,17960,3,3,24,21
63983,17960,4,4,21,27
63984,17928,1,1,34,18
63985,17927,1,1,28,25
63986,17928,2,2,33,27
63987,17928,3,3,24,26
63988,17928,4,4,22,26
63989,17927,2,2,17,40
63990,17927,3,3,33,29
63991,17927,4,4,36,23
63992,17929,1,1,18,24
63993,17929,2,2,20,25
63994,17929,3,3,23,38
63995,17929,4,4,24,24
63996,17931,1,1,23,30
63997,17931,2,2,24,31
63998,17931,3,3,24,29
63999,17931,4,4,35,27
64000,17930,1,1,26,25
64001,17930,2,2,34,35
64002,17930,3,3,40,25
64003,17930,4,4,21,22
64004,17979,1,1,24,30
64005,17979,2,2,27,24
64006,17979,3,3,29,18
64007,17979,4,4,22,31
64008,17962,1,1,26,36
64009,17962,2,2,29,31
64010,17962,3,3,25,34
64011,17962,4,4,24,24
64012,17964,1,1,23,35
64013,17964,2,2,24,20
64014,17964,3,3,30,32
64015,17964,4,4,0,0
64016,17932,1,1,27,33
64017,17932,2,2,21,36
64018,17932,3,3,24,44
64019,17932,4,4,23,18
64020,17963,1,1,23,30
64021,17963,2,2,37,27
64022,17963,3,3,31,34
64023,17963,4,4,28,34
64024,17967,1,1,21,27
64025,17967,2,2,24,35
64026,17967,3,3,29,40
64027,17967,4,4,31,15
64028,17981,1,1,22,39
64029,17981,2,2,29,15
64030,17981,3,3,25,30
64031,17981,4,4,29,31
64032,17922,1,1,21,19
64033,17922,2,2,25,22
64034,17922,3,3,22,27
64035,17922,4,4,31,28
64036,17933,1,1,26,18
64037,17933,2,2,25,34
64038,17933,3,3,17,20
64039,17933,4,4,18,32
64040,17965,1,1,31,22
64041,17965,2,2,25,39
64042,17965,3,3,18,31
64043,17965,4,4,27,19
64044,17966,1,1,39,26
64045,17966,2,2,23,37
64046,17966,3,3,27,21
64047,17966,4,4,27,34
64048,17980,1,1,28,22
64049,17980,2,2,23,29
64050,17980,3,3,38,17
64051,17980,4,4,24,30
64052,17976,1,1,22,27
64053,17976,2,2,33,44
64054,17976,3,3,25,27
64055,17976,4,4,33,27
64056,17934,1,1,31,19
64057,17934,2,2,42,24
64058,17934,3,3,28,27
64059,17934,4,4,27,28
64060,17977,1,1,34,26
64061,17977,2,2,28,22
64062,17977,3,3,29,22
64063,17977,4,4,22,36
64064,17935,1,1,32,29
64065,17935,2,2,31,30
64066,17935,3,3,23,16
64067,17935,4,4,23,25
64068,17936,1,1,26,32
64069,17936,2,2,34,24
64070,17936,3,3,28,33
64071,17936,4,4,27,30
64072,17937,1,1,17,30
64073,17937,2,2,21,33
64074,17937,3,3,19,33
64075,17937,4,4,28,25
64076,17938,1,1,24,17
64077,17938,2,2,30,28
64078,17938,3,3,24,32
64079,17938,4,4,31,28
64080,17968,1,1,31,30
64081,17968,2,2,25,30
64082,17968,3,3,41,31
64083,17968,4,4,17,31
64084,17939,1,1,19,26
64085,17939,2,2,28,23
64086,17939,3,3,29,34
64087,17939,4,4,25,18
64088,17969,1,1,25,21
64089,17969,2,2,24,38
64090,17969,3,3,28,32
64091,17969,4,4,37,30
64092,17939,5,OT,13,11
64093,17961,1,1,16,31
64094,17961,2,2,43,26
64095,17961,3,3,27,28
64096,17961,4,4,25,28
64097,17983,1,1,35,30
64098,17983,2,2,24,25
64099,17983,3,3,36,21
64100,17983,4,4,22,23
64101,17970,1,1,21,22
64102,17970,2,2,16,18
64103,17970,3,3,27,24
64104,17970,4,4,27,23
64105,17940,1,1,28,17
64106,17940,2,2,21,23
64107,17940,3,3,32,24
64108,17940,4,4,20,36
64109,17941,1,1,28,27
64110,17941,2,2,24,25
64111,17941,3,3,27,23
64112,17941,4,4,23,26
64113,17942,1,1,32,48
64114,17942,2,2,22,33
64115,17942,3,3,27,23
64116,17942,4,4,29,26
64117,17943,1,1,28,18
64118,17943,2,2,23,26
64119,17943,3,3,37,20
64120,17943,4,4,35,30
64121,17986,1,1,19,28
64122,17986,2,2,19,29
64123,17986,3,3,26,31
64124,17986,4,4,28,19
64125,17944,1,1,24,27
64126,17944,2,2,29,20
64127,17944,3,3,25,30
64128,17944,4,4,25,27
64129,17971,1,1,25,37
64130,17971,2,2,24,31
64131,17971,3,3,24,32
64132,17971,4,4,31,15
64133,17978,1,1,27,34
64134,17978,2,2,19,36
64135,17978,3,3,28,29
64136,17978,4,4,18,28
64137,17945,1,1,22,28
64138,17945,2,2,24,35
64139,17945,3,3,19,32
64140,17945,4,4,31,32
64141,17946,1,1,25,17
64142,17946,2,2,30,31
64143,17946,3,3,26,23
64144,17946,4,4,26,22
64145,17987,1,1,27,30
64146,17987,2,2,40,27
64147,17987,3,3,29,22
64148,17987,4,4,32,21
64149,17988,1,1,26,30
64150,17988,2,2,32,28
64151,17988,3,3,23,31
64152,17988,4,4,32,19
64153,17947,1,1,24,32
64154,17947,2,2,29,23
64155,17947,3,3,32,29
64156,17947,4,4,26,15
64157,17973,1,1,11,23
64158,17973,2,2,27,36
64159,17973,3,3,22,34
64160,17973,4,4,14,26
64161,17948,1,1,24,17
64162,17948,2,2,37,13
64163,17948,3,3,30,11
64164,17948,4,4,36,18
64165,17924,1,1,26,24
64166,17924,2,2,30,30
64167,17924,3,3,23,19
64168,17924,4,4,23,30
64169,17923,1,1,22,28
64170,17923,2,2,35,24
64171,17923,3,3,33,32
64172,17923,4,4,17,25
64173,17972,1,1,26,20
64174,17972,2,2,30,32
64175,17972,3,3,21,30
64176,17972,4,4,23,26
64177,17949,1,1,23,29
64178,17949,2,2,25,24
64179,17949,3,3,24,31
64180,17949,4,4,27,24
64181,17950,1,1,30,35
64182,17950,2,2,31,28
64183,17950,3,3,32,32
64184,17950,4,4,27,29
64185,17951,1,1,17,33
64186,17951,2,2,26,34
64187,17951,3,3,29,30
64188,17951,4,4,20,30
64189,17952,1,1,30,27
64190,17952,2,2,19,30
64191,17952,3,3,26,27
64192,17952,4,4,26,23
64193,17953,1,1,26,30
64194,17953,2,2,30,20
64195,17953,3,3,21,33
64196,17953,4,4,25,19
64197,17954,1,1,23,35
64198,17954,2,2,42,36
64199,17954,3,3,22,21
64200,17954,4,4,25,24
64201,17953,5,OT,11,5
64202,17957,1,1,34,28
64203,17957,2,2,21,31
64204,17957,3,3,26,28
64205,17957,4,4,19,34
64206,17956,1,1,35,26
64207,17982,1,1,26,29
64208,17956,2,2,25,21
64209,17956,3,3,23,20
64210,17956,4,4,27,27
64211,17982,2,2,29,37
64212,17982,3,3,27,25
64213,17982,4,4,26,21
64214,17974,1,1,26,15
64215,17974,2,2,34,34
64216,17974,3,3,30,26
64217,17974,4,4,23,40
64218,17958,1,1,30,29
64219,17958,2,2,37,21
64220,17958,3,3,24,27
64221,17958,4,4,23,26
64222,17955,1,1,35,28
64223,17955,2,2,18,27
64224,17955,3,3,28,27
64225,17955,4,4,24,36
64226,17959,1,1,21,30
64227,17959,2,2,28,35
64228,17959,3,3,30,31
64229,17959,4,4,19,30
64230,17975,1,1,27,17
64231,17975,2,2,24,38
64232,17975,3,3,26,43
64233,17975,4,4,20,21
64234,16692,1,1,25,37
64235,16692,2,2,34,29
64236,16692,3,3,26,31
64237,16692,4,4,19,30
64238,16693,1,1,32,34
64239,16693,2,2,21,25
64240,16693,3,3,30,26
64241,16693,4,4,38,29
64242,16706,1,1,38,27
64243,16706,2,2,37,32
64244,16706,3,3,13,33
64245,16706,4,4,34,31
64246,16705,1,1,14,20
64247,16705,2,2,26,24
64248,16705,3,3,31,25
64249,16705,4,4,23,19
64250,16694,1,1,35,29
64251,16694,2,2,23,25
64252,16694,3,3,24,32
64253,16694,4,4,34,30
64254,16707,1,1,26,18
64255,16707,2,2,31,19
64256,16707,3,3,24,22
64257,16707,4,4,17,24
64258,16709,1,1,21,32
64259,16709,2,2,24,40
64260,16709,3,3,26,27
64261,16709,4,4,35,25
64262,16708,1,1,29,25
64263,16710,1,1,32,32
64264,16710,2,2,29,41
64265,16710,3,3,29,21
64266,16710,4,4,31,38
64267,16708,2,2,24,28
64268,16708,3,3,28,17
64269,16708,4,4,36,27
64270,16711,1,1,28,32
64271,16711,2,2,21,29
64272,16711,3,3,22,33
64273,16711,4,4,26,29
64274,16712,1,1,18,27
64275,16712,2,2,24,27
64276,16712,3,3,21,29
64277,16712,4,4,23,24
64278,16713,1,1,24,23
64279,16713,2,2,38,26
64280,16713,3,3,38,36
64281,16713,4,4,24,36
64282,16695,1,1,26,20
64283,16695,2,2,25,38
64284,16695,3,3,34,24
64285,16695,4,4,25,16
64286,16694,5,OT,12,12
64287,16694,6,OT2,6,10
64288,16696,1,1,20,22
64289,16696,2,2,24,29
64290,16696,3,3,20,35
64291,16696,4,4,23,27
64292,16714,1,1,17,40
64293,16714,2,2,26,32
64294,16714,3,3,26,33
64295,16714,4,4,26,32
64296,16697,1,1,27,44
64297,16697,2,2,40,22
64298,16697,3,3,26,24
64299,16697,4,4,20,25
64300,16715,1,1,27,30
64301,16715,2,2,27,29
64302,16715,3,3,36,30
64303,16715,4,4,33,23
64304,16716,1,1,36,16
64305,16716,2,2,29,19
64306,16716,3,3,21,29
64307,16716,4,4,35,32
64308,16717,1,1,36,32
64309,16717,2,2,37,41
64310,16717,3,3,23,33
64311,16717,4,4,27,17
64312,16718,1,1,23,23
64313,16718,2,2,28,24
64314,16718,3,3,33,17
64315,16718,4,4,31,19
64316,16698,1,1,28,34
64317,16698,2,2,27,28
64318,16698,3,3,30,29
64319,16698,4,4,29,18
64324,16720,1,1,21,34
64325,16720,2,2,26,35
64326,16720,3,3,26,31
64327,16720,4,4,18,24
64328,16721,1,1,22,26
64329,16721,2,2,28,27
64330,16721,3,3,20,26
64331,16721,4,4,26,23
64332,16717,5,OT,11,12
64333,16699,1,1,23,26
64334,16699,2,2,34,18
64335,16699,3,3,37,23
64336,16699,4,4,21,38
64337,16722,1,1,24,26
64338,16722,2,2,22,26
64339,16722,3,3,35,28
64340,16722,4,4,29,21
64341,16723,1,1,27,24
64342,16723,2,2,28,28
64343,16723,3,3,17,31
64344,16723,4,4,23,18
64345,16724,1,1,24,28
64346,16724,2,2,22,28
64347,16724,3,3,17,8
64348,16724,4,4,23,22
64349,16725,1,1,18,25
64350,16725,2,2,27,26
64351,16725,3,3,29,21
64352,16725,4,4,29,23
64353,16726,1,1,28,31
64354,16726,2,2,15,23
64355,16726,3,3,11,25
64356,16726,4,4,28,18
64357,16727,1,1,27,28
64358,16727,2,2,14,26
64359,16727,3,3,26,15
64360,16727,4,4,22,27
64361,16728,1,1,32,32
64362,16728,2,2,24,20
64363,16728,3,3,29,29
64364,16728,4,4,36,30
64365,16724,5,OT,5,16
64366,16729,1,1,24,30
64367,16729,2,2,23,37
64368,16729,3,3,34,39
64369,16729,4,4,24,28
64370,16730,1,1,25,34
64371,16730,2,2,34,28
64372,16730,3,3,38,27
64373,16730,4,4,23,25
64374,16731,1,1,27,31
64375,16731,2,2,23,27
64376,16731,3,3,29,20
64377,16731,4,4,32,17
64378,16732,1,1,22,30
64379,16734,1,1,36,26
64380,16732,2,2,31,21
64381,16732,3,3,36,21
64382,16732,4,4,18,25
64383,16734,2,2,23,25
64384,16734,3,3,28,27
64385,16734,4,4,28,25
64386,16733,1,1,27,29
64387,16733,2,2,25,28
64388,16733,3,3,22,23
64389,16733,4,4,36,24
64390,16735,1,1,29,31
64391,16735,2,2,31,31
64392,16735,3,3,30,26
64393,16735,4,4,29,19
64394,16736,1,1,24,29
64395,16736,2,2,32,33
64396,16736,3,3,34,25
64397,16736,4,4,28,34
64398,16737,1,1,34,30
64399,16737,2,2,32,27
64400,16737,3,3,35,29
64401,16737,4,4,18,23
64402,16738,1,1,33,33
64403,16738,2,2,35,33
64404,16738,3,3,26,31
64405,16738,4,4,28,25
64406,16739,1,1,18,28
64407,16739,2,2,36,34
64408,16739,3,3,25,33
64409,16739,4,4,25,27
64410,16742,1,1,24,24
64411,16741,1,1,20,38
64412,16741,2,2,22,21
64413,16741,3,3,22,23
64414,16741,4,4,26,22
64415,16742,2,2,37,27
64416,16742,3,3,31,29
64417,16742,4,4,19,28
64418,16740,1,1,15,27
64419,16740,2,2,29,30
64420,16740,3,3,26,24
64421,16740,4,4,20,26
64422,16743,1,1,25,19
64423,16743,2,2,29,24
64424,16743,3,3,26,30
64425,16743,4,4,27,25
64426,16744,1,1,29,24
64427,16744,2,2,21,22
64428,16744,3,3,25,24
64429,16744,4,4,24,17
64430,16738,5,OT,18,7
64431,16745,1,1,17,31
64432,16745,2,2,25,25
64433,16745,3,3,19,35
64434,16745,4,4,25,25
64435,16746,1,1,26,23
64436,16746,2,2,16,39
64437,16746,3,3,30,28
64438,16746,4,4,27,22
64439,16747,1,1,29,34
64440,16747,2,2,19,25
64441,16747,3,3,33,17
64442,16747,4,4,25,22
64443,16749,1,1,27,29
64444,16749,2,2,34,33
64445,16749,3,3,24,35
64446,16749,4,4,29,17
64447,16748,1,1,31,27
64448,16748,2,2,29,30
64449,16748,3,3,28,34
64450,16748,4,4,18,25
64451,16750,1,1,31,35
64452,16750,2,2,33,31
64453,16750,3,3,26,25
64454,16750,4,4,20,31
64455,16749,5,OT,11,7
64456,16751,1,1,31,31
64457,16751,2,2,33,30
64458,16751,3,3,27,32
64459,16751,4,4,29,18
64460,16755,1,1,24,29
64461,16755,2,2,24,28
64462,16755,3,3,23,30
64463,16755,4,4,29,31
64464,16752,1,1,24,19
64465,16752,2,2,38,33
64466,16752,3,3,25,34
64467,16752,4,4,29,21
64468,16754,1,1,29,22
64469,16754,2,2,20,29
64470,16754,3,3,32,23
64471,16754,4,4,25,19
64472,16753,1,1,19,33
64473,16753,2,2,34,26
64474,16753,3,3,31,18
64475,16753,4,4,18,22
64476,16757,1,1,41,19
64477,16757,2,2,31,37
64478,16757,3,3,23,41
64479,16757,4,4,20,26
64480,16756,1,1,44,34
64481,16756,2,2,22,24
64482,16756,3,3,28,21
64483,16756,4,4,19,29
64484,16758,1,1,23,29
64485,16758,2,2,30,32
64486,16758,3,3,29,15
64487,16758,4,4,28,31
64488,16759,1,1,27,24
64489,16759,2,2,30,27
64490,16759,3,3,20,36
64491,16759,4,4,19,29
64492,16760,1,1,23,14
64493,16760,2,2,24,26
64494,16760,3,3,25,24
64495,16760,4,4,20,15
64496,16761,1,1,22,21
64497,16761,2,2,24,31
64498,16761,3,3,21,27
64499,16761,4,4,35,31
64500,16762,1,1,32,33
64501,16762,2,2,23,31
64502,16762,3,3,31,36
64503,16762,4,4,25,22
64504,16764,1,1,32,18
64505,16764,2,2,29,22
64506,16764,3,3,31,32
64507,16764,4,4,30,19
64508,16763,1,1,27,25
64509,16763,2,2,28,26
64510,16763,3,3,27,22
64511,16763,4,4,22,30
64512,16765,1,1,25,15
64513,16765,2,2,24,32
64514,16765,3,3,27,29
64515,16765,4,4,23,28
64516,16766,1,1,20,37
64517,16766,2,2,25,18
64518,16766,3,3,28,24
64519,16766,4,4,25,19
64520,16766,5,OT,6,3
64521,16767,1,1,20,23
64522,16767,2,2,31,31
64523,16767,3,3,27,23
64524,16767,4,4,31,33
64525,16769,1,1,38,26
64526,16769,2,2,17,32
64527,16769,3,3,19,27
64528,16769,4,4,24,20
64529,16768,1,1,22,33
64530,16768,2,2,24,31
64531,16768,3,3,29,20
64532,16768,4,4,24,30
64533,16770,1,1,33,26
64534,16770,2,2,26,22
64535,16770,3,3,18,24
64536,16770,4,4,36,37
64537,16771,1,1,21,29
64538,16771,2,2,23,25
64539,16771,3,3,12,33
64540,16771,4,4,19,19
64541,16772,1,1,24,25
64542,16772,2,2,16,23
64543,16772,3,3,27,28
64544,16772,4,4,25,35
64545,16773,1,1,28,21
64546,16773,2,2,26,33
64547,16773,3,3,31,34
64548,16773,4,4,16,25
64549,16774,1,1,20,25
64550,16774,2,2,27,28
64551,16774,3,3,26,23
64552,16774,4,4,30,27
64553,16775,1,1,34,28
64554,16775,2,2,29,31
64555,16775,3,3,25,24
64556,16775,4,4,35,34
64557,16776,1,1,20,25
64558,16776,2,2,27,23
64559,16776,3,3,26,34
64560,16776,4,4,30,28
64561,16774,5,OT,6,6
64562,16777,1,1,22,25
64563,16777,2,2,24,22
64564,16777,3,3,21,19
64565,16777,4,4,30,28
64566,16778,1,1,15,28
64567,16778,2,2,31,32
64568,16778,3,3,23,29
64569,16778,4,4,25,33
64570,16774,6,OT2,3,6
64571,16781,1,1,38,22
64572,16781,2,2,29,32
64573,16781,3,3,35,25
64574,16781,4,4,27,24
64575,16779,1,1,24,25
64576,16779,2,2,33,29
64577,16779,3,3,15,25
64578,16779,4,4,27,28
64579,16780,1,1,27,24
64580,16780,2,2,18,23
64581,16780,3,3,24,20
64582,16780,4,4,33,26
64583,16782,1,1,20,28
64584,16782,2,2,24,27
64585,16782,3,3,14,27
64586,16782,4,4,24,21
64587,16783,1,1,23,32
64588,16783,2,2,20,15
64589,16783,3,3,26,26
64590,16783,4,4,24,18
64591,16784,1,1,31,24
64592,16784,2,2,15,26
64593,16784,3,3,19,28
64594,16784,4,4,27,23
64595,16785,1,1,22,31
64596,16785,2,2,25,22
64597,16785,3,3,25,29
64598,16785,4,4,27,23
64599,16786,1,1,29,27
64600,16788,1,1,30,23
64601,16786,2,2,31,26
64602,16786,3,3,28,36
64603,16786,4,4,25,36
64604,16788,2,2,27,25
64605,16788,3,3,27,21
64606,16788,4,4,23,26
64607,16787,1,1,25,28
64608,16787,2,2,24,36
64609,16787,3,3,25,32
64610,16787,4,4,17,21
64611,16789,1,1,15,27
64612,16789,2,2,20,27
64613,16789,3,3,19,21
64614,16789,4,4,31,20
64615,16791,1,1,21,27
64616,16792,1,1,40,21
64617,16791,2,2,32,27
64618,16791,3,3,28,32
64619,16791,4,4,22,27
64620,16792,2,2,25,28
64621,16792,3,3,23,27
64622,16792,4,4,25,34
64623,16790,1,1,33,43
64624,16790,2,2,23,35
64625,16790,3,3,27,31
64626,16790,4,4,35,22
64627,16793,1,1,23,34
64628,16795,1,1,26,34
64629,16795,2,2,27,23
64630,16795,3,3,38,22
64631,16795,4,4,22,25
64632,16793,2,2,37,29
64633,16793,3,3,17,21
64634,16793,4,4,34,34
64635,16794,1,1,34,35
64636,16794,2,2,25,32
64637,16794,3,3,30,36
64638,16794,4,4,39,11
64639,16796,1,1,26,32
64640,16797,1,1,26,31
64641,16796,2,2,27,26
64642,16796,3,3,19,20
64643,16796,4,4,43,19
64644,16797,2,2,32,29
64645,16797,3,3,15,22
64646,16797,4,4,24,24
64647,16798,1,1,23,14
64648,16798,2,2,21,26
64649,16798,3,3,30,26
64650,16798,4,4,20,33
64651,16799,1,1,27,20
64652,16799,2,2,30,19
64653,16799,3,3,33,23
64654,16799,4,4,27,27
64655,16800,1,1,24,30
64656,16800,2,2,46,32
64657,16800,3,3,29,26
64658,16800,4,4,26,22
64659,16801,1,1,29,33
64660,16801,2,2,30,25
64661,16801,3,3,28,32
64662,16801,4,4,26,29
64663,16802,1,1,36,22
64664,16802,2,2,23,26
64665,16802,3,3,23,28
64666,16802,4,4,18,36
64667,16803,1,1,35,32
64668,16803,2,2,35,32
64669,16803,3,3,19,23
64670,16803,4,4,28,32
64671,16805,1,1,22,36
64672,16805,2,2,28,23
64673,16805,3,3,25,21
64674,16805,4,4,23,31
64675,16806,1,1,26,28
64676,16808,1,1,29,29
64677,16808,2,2,30,19
64678,16808,3,3,27,29
64679,16808,4,4,23,23
64680,16806,2,2,18,18
64681,16806,3,3,31,10
64682,16806,4,4,17,23
64683,16807,1,1,19,29
64684,16807,2,2,25,29
64685,16807,3,3,28,26
64686,16807,4,4,26,19
64687,16804,1,1,26,23
64688,16804,2,2,27,37
64689,16804,3,3,24,27
64690,16804,4,4,27,20
64691,16809,1,1,28,35
64692,16809,2,2,31,26
64693,16809,3,3,20,34
64694,16809,4,4,29,22
64695,16811,1,1,19,37
64696,16811,2,2,36,19
64697,16811,3,3,28,22
64698,16811,4,4,23,30
64699,16810,1,1,27,23
64700,16810,2,2,31,31
64701,16810,3,3,45,34
64702,16810,4,4,23,27
64703,16812,1,1,28,28
64704,16812,2,2,31,30
64705,16812,3,3,22,25
64706,16812,4,4,28,25
64707,16814,1,1,26,27
64708,16814,2,2,26,29
64709,16814,3,3,35,36
64710,16814,4,4,12,20
64711,16813,1,1,26,21
64712,16813,2,2,26,32
64713,16813,3,3,15,27
64714,16813,4,4,25,34
64715,16815,1,1,31,32
64716,16815,2,2,32,34
64717,16815,3,3,23,16
64718,16815,4,4,23,16
64719,16816,1,1,15,16
64720,16816,2,2,24,24
64721,16816,3,3,36,34
64722,16816,4,4,41,24
64723,16817,1,1,18,24
64724,16817,2,2,33,9
64725,16817,3,3,24,24
64726,16817,4,4,20,21
64727,16818,1,1,30,36
64728,16818,2,2,31,20
64729,16818,3,3,25,37
64730,16818,4,4,25,30
64731,16819,1,1,21,25
64732,16819,2,2,27,27
64733,16819,3,3,24,28
64734,16819,4,4,35,24
64735,16821,1,1,30,20
64736,16821,2,2,19,16
64737,16821,3,3,23,26
64738,16821,4,4,30,27
64739,16820,1,1,28,23
64740,16820,2,2,11,16
64741,16820,3,3,39,23
64742,16820,4,4,18,28
64743,16822,1,1,31,35
64744,16822,2,2,16,25
64745,16822,3,3,21,31
64746,16822,4,4,19,24
64747,16824,1,1,28,29
64748,16824,2,2,20,28
64749,16824,3,3,26,23
64750,16824,4,4,28,21
64751,16823,1,1,19,38
64752,16823,2,2,37,25
64753,16823,3,3,32,20
64754,16823,4,4,25,15
64755,16825,1,1,23,33
64756,16825,2,2,24,24
64757,16825,3,3,28,15
64758,16825,4,4,29,12
64759,16828,1,1,22,41
64760,16828,2,2,31,33
64761,16828,3,3,36,32
64762,16828,4,4,21,34
64763,16827,1,1,19,24
64764,16827,2,2,34,35
64765,16827,3,3,30,23
64766,16827,4,4,23,28
64767,16826,1,1,31,38
64768,16826,2,2,19,16
64769,16826,3,3,16,34
64770,16826,4,4,19,38
64771,16829,1,1,27,26
64772,16829,2,2,20,20
64773,16829,3,3,24,26
64774,16829,4,4,23,23
64775,16830,1,1,24,27
64776,16830,2,2,28,28
64777,16830,3,3,26,32
64778,16830,4,4,37,31
64779,16831,1,1,22,21
64780,16831,2,2,35,26
64781,16831,3,3,27,30
64782,16831,4,4,30,28
64783,16832,1,1,15,29
64784,16832,2,2,25,28
64785,16832,3,3,32,22
64786,16832,4,4,32,28
64787,16833,1,1,26,25
64788,16833,2,2,32,34
64789,16833,3,3,40,27
64790,16833,4,4,19,35
64791,16834,1,1,14,36
64792,16834,2,2,22,15
64793,16834,3,3,26,42
64794,16834,4,4,28,12
64795,16835,1,1,29,26
64796,16835,2,2,24,34
64797,16835,3,3,35,17
64798,16835,4,4,28,26
64799,16838,1,1,27,19
64800,16838,2,2,21,24
64801,16838,3,3,26,24
64802,16838,4,4,20,24
64803,16837,1,1,15,28
64804,16837,2,2,37,22
64805,16837,3,3,33,25
64806,16837,4,4,15,32
64807,16839,1,1,24,26
64808,16836,1,1,29,30
64809,16836,2,2,27,27
64810,16836,3,3,33,18
64811,16836,4,4,37,34
64812,16839,2,2,28,23
64813,16839,3,3,19,33
64814,16839,4,4,23,19
64815,16840,1,1,28,14
64816,16840,2,2,27,31
64817,16840,3,3,14,34
64818,16840,4,4,25,20
64819,16841,1,1,32,37
64820,16841,2,2,29,32
64821,16841,3,3,22,34
64822,16841,4,4,24,17
64823,16842,1,1,39,31
64824,16842,2,2,19,30
64825,16842,3,3,29,28
64826,16842,4,4,19,31
64827,16843,1,1,28,21
64828,16843,2,2,30,23
64829,16843,3,3,14,25
64830,16843,4,4,31,27
64831,16844,1,1,27,35
64832,16845,1,1,34,34
64833,16845,2,2,20,24
64834,16845,3,3,38,23
64835,16845,4,4,21,32
64836,16844,2,2,30,16
64837,16844,3,3,21,25
64838,16844,4,4,17,42
64839,16846,1,1,27,22
