GameID,Season,SeasonType,Status,Day,DateTime,AwayTeam,HomeTeam,AwayTeamID,HomeTeamID,StadiumID,AwayTeamScore,HomeTeamScore,PointSpread,OverUnder,AwayTeamMoneyLine,HomeTeamMoneyLine,HomeRotationNumber,AwayRotationNumber,NeutralVenue
15134,2020,2,Final,10/3/2019 12:00:00 AM,10/4/2019 1:00:00 AM,HOU,LAC,22,28,55,109,96,,,,,,,True
15135,2020,2,F/OT,10/4/2019 12:00:00 AM,10/4/2019 9:30:00 AM,IND,SAC,13,30,54,132,131,,,,,516,515,True
15136,2020,2,Final,10/5/2019 12:00:00 AM,10/5/2019 9:30:00 AM,SAC,IND,30,13,54,106,130,,,,,,,True
15137,2020,2,Final,10/5/2019 12:00:00 AM,10/5/2019 8:00:00 PM,LAL,GS,27,26,51,123,101,,,,,,,False
15138,2020,2,Final,10/5/2019 12:00:00 AM,10/5/2019 8:30:00 PM,ORL,SA,5,24,24,125,89,,,,,,,False
15139,2020,2,Final,10/6/2019 12:00:00 AM,10/6/2019 6:00:00 PM,CHA,BOS,2,9,9,106,107,,,,,,,False
15140,2020,2,Final,10/7/2019 12:00:00 AM,10/7/2019 7:00:00 PM,ORL,DET,5,14,14,115,91,,,,,,,False
15141,2020,2,Final,10/7/2019 12:00:00 AM,10/7/2019 7:00:00 PM,NY,WAS,6,1,1,104,99,,,,,,,False
15142,2020,2,Final,10/7/2019 12:00:00 AM,10/7/2019 7:30:00 PM,NO,ATL,23,3,3,133,109,,,,,,,False
15143,2020,2,Final,10/7/2019 12:00:00 AM,10/7/2019 8:00:00 PM,MIL,CHI,15,11,11,122,112,,,,,,,False
15144,2020,2,Final,10/8/2019 12:00:00 AM,10/8/2019 6:00:00 AM,HOU,TOR,22,10,53,129,134,,,,,,,True
15145,2020,2,Final,10/8/2019 12:00:00 AM,10/8/2019 7:30:00 PM,SA,MIA,24,4,4,89,107,,,,,,,False
15146,2020,2,Final,10/8/2019 12:00:00 AM,10/8/2019 8:00:00 PM,DAL,OKC,25,18,37,104,119,,,,,,,False
15147,2020,2,Final,10/8/2019 12:00:00 AM,10/8/2019 10:00:00 PM,MIN,PHO,16,29,28,106,111,,,,,,,False
15148,2020,2,Final,10/8/2019 12:00:00 AM,10/8/2019 10:30:00 PM,DEN,POR,20,19,19,105,94,,,,,,,False
