StatID,TeamID,SeasonType,Season,Name,Team,Wins,Losses,Games,FantasyPoints,Minutes,Seconds,FieldGoalsMade,FieldGoalsAttempted,FieldGoalsPercentage,TwoPointersMade,TwoPointersAttempted,TwoPointersPercentage,ThreePointersMade,ThreePointersAttempted,ThreePointersPercentage,FreeThrowsMade,FreeThrowsAttempted,FreeThrowsPercentage,OffensiveRebounds,DefensiveRebounds,Rebounds,Assists,Steals,BlockedShots,Turnovers,PersonalFouls,Points,FantasyPointsFanDuel,FantasyPointsDraftKings,PlusMinus,DoubleDoubles,TripleDoubles
897901,3,2,2022,Atlanta Hawks,ATL,2,2,4,840.70,959,56,152.00,362.00,42.0,101.00,221.00,45.7,51.00,141.00,36.2,58.00,70.00,82.9,37.00,144.00,181.00,101.00,40.00,20.00,61.00,80.00,413.00,900.70,914.75,50.00,6.00,0.00
905769,3,1,2022,Atlanta Hawks,ATL,43,39,82,17641.70,19706,40,3401.00,7241.00,47.0,2345.00,4420.00,53.1,1056.00,2821.00,37.4,1485.00,1829.00,81.2,823.00,2783.00,3606.00,2017.00,587.00,348.00,924.00,1534.00,9343.00,18576.70,18962.00,643.00,100.00,0.00
994154,3,3,2022,Atlanta Hawks,ATL,3,4,7,1301.10,1680,0,260.00,565.00,46.0,178.00,327.00,54.4,82.00,238.00,34.5,124.00,157.00,79.0,65.00,228.00,293.00,139.00,39.00,21.00,105.00,152.00,726.00,1361.10,1415.25,-125.00,4.00,0.00
993543,8,3,2022,Brooklyn Nets,BKN,1,4,5,1028.80,1200,0,202.00,396.00,51.0,147.00,259.00,56.8,55.00,137.00,40.1,92.00,127.00,72.4,44.00,135.00,179.00,122.00,41.00,35.00,72.00,119.00,551.00,1104.80,1104.25,-55.00,2.00,0.00
897066,8,2,2022,Brooklyn Nets,BKN,3,1,4,818.20,946,31,160.00,330.00,48.5,105.00,195.00,53.8,55.00,135.00,40.7,67.00,89.00,75.3,36.00,135.00,171.00,88.00,36.00,20.00,73.00,86.00,442.00,874.20,892.25,107.00,1.00,0.00
904138,8,1,2022,Brooklyn Nets,BKN,44,38,82,17715.70,19715,12,3443.00,7240.00,47.6,2503.00,4646.00,53.9,940.00,2594.00,36.2,1432.00,1779.00,80.5,845.00,2796.00,3641.00,2065.00,583.00,453.00,1081.00,1670.00,9258.00,18751.70,19038.75,360.00,74.00,13.00
897905,9,2,2022,Boston Celtics,BOS,2,2,4,809.70,960,42,145.00,344.00,42.2,87.00,184.00,47.3,58.00,160.00,36.2,65.00,78.00,83.3,36.00,145.00,181.00,91.00,34.00,22.00,69.00,73.00,413.00,865.70,882.25,-95.00,0.00,0.00
905165,9,1,2022,Boston Celtics,BOS,51,31,82,17818.60,19890,58,3341.00,7166.00,46.6,2256.00,4122.00,54.7,1085.00,3044.00,35.6,1397.00,1713.00,81.6,863.00,2915.00,3778.00,2036.00,591.00,478.00,1071.00,1521.00,9164.00,18887.60,19210.00,2985.00,80.00,3.00
995363,9,3,2022,Boston Celtics,BOS,14,10,24,4923.00,5760,0,881.00,1962.00,44.9,553.00,1083.00,51.1,328.00,879.00,37.3,443.00,556.00,79.7,216.00,814.00,1030.00,588.00,154.00,150.00,336.00,497.00,2533.00,5227.00,5333.50,430.00,18.00,0.00
905161,2,1,2022,Charlotte Hornets,CHA,43,39,82,18472.00,19855,0,3508.00,7496.00,46.8,2365.00,4368.00,54.1,1143.00,3128.00,36.5,1298.00,1753.00,74.0,888.00,2767.00,3655.00,2302.00,707.00,402.00,1042.00,1629.00,9457.00,19581.00,19838.75,180.00,55.00,6.00
994156,2,3,2022,Charlotte Hornets,CHA,0,1,1,187.20,240,0,34.00,90.00,37.8,21.00,49.00,42.9,13.00,41.00,31.7,22.00,29.00,75.9,11.00,30.00,41.00,22.00,4.00,4.00,14.00,24.00,103.00,195.20,202.75,-145.00,0.00,0.00
