GameID,Season,SeasonType,Status,Day,DateTime,AwayTeam,HomeTeam,AwayTeamID,HomeTeamID,StadiumID,AwayTeamScore,HomeTeamScore,PointSpread,OverUnder,AwayTeamMoneyLine,HomeTeamMoneyLine,HomeRotationNumber,AwayRotationNumber,NeutralVenue
17925,2022,2,Final,10/3/2021 12:00:00 AM,10/3/2021 3:30:00 PM,BKN,LAL,8,27,27,123,97,-3.5,218.5,135,-160,,,False
17985,2022,2,Final,10/4/2021 12:00:00 AM,10/4/2021 7:00:00 PM,PHI,TOR,7,10,10,107,123,-2.5,214.5,114,-140,544,543,False
17960,2022,2,Final,10/4/2021 12:00:00 AM,10/4/2021 7:30:00 PM,ORL,BOS,5,9,9,97,98,-7.0,213.5,225,-290,546,545,False
17926,2022,2,Final,10/4/2021 12:00:00 AM,10/4/2021 7:30:00 PM,ATL,MIA,3,4,4,99,125,-4.0,212.0,128,-150,548,547,False
17927,2022,2,Final,10/4/2021 12:00:00 AM,10/4/2021 8:00:00 PM,NO,MIN,23,16,16,114,117,-3.0,220.5,125,-145,550,549,False
17928,2022,2,Final,10/4/2021 12:00:00 AM,10/4/2021 8:00:00 PM,CHA,OKC,2,18,18,113,97,3.5,215.5,-170,145,552,551,False
17929,2022,2,Final,10/4/2021 12:00:00 AM,10/4/2021 8:30:00 PM,UTA,SA,17,24,24,85,111,3.5,218.5,-165,138,554,553,False
17930,2022,2,Final,10/4/2021 12:00:00 AM,10/4/2021 10:00:00 PM,GS,POR,26,19,19,121,107,-2.5,220.5,110,-130,556,555,False
17931,2022,2,Final,10/4/2021 12:00:00 AM,10/4/2021 10:00:00 PM,PHO,SAC,29,30,29,106,117,-3.0,217.5,125,-145,558,557,False
17979,2022,2,Final,10/4/2021 12:00:00 AM,10/4/2021 10:30:00 PM,DEN,LAC,20,28,27,102,103,3.0,214.5,-141,118,560,559,False
17962,2022,2,Final,10/5/2021 12:00:00 AM,10/5/2021 7:30:00 PM,IND,NY,13,6,6,104,125,-3.5,214.5,130,-159,562,561,False
17932,2022,2,Final,10/5/2021 12:00:00 AM,10/5/2021 8:00:00 PM,CLE,CHI,12,11,11,95,131,-5.5,216.0,172,-215,568,567,False
17963,2022,2,Final,10/5/2021 12:00:00 AM,10/5/2021 8:00:00 PM,WAS,HOU,1,22,22,119,125,-1.5,227.0,100,-120,566,565,False
17964,2022,2,Final,10/5/2021 12:00:00 AM,10/5/2021 8:00:00 PM,MIL,MEM,15,21,21,77,87,-6.5,221.5,210,-265,564,563,False
17967,2022,2,Final,10/6/2021 12:00:00 AM,10/6/2021 6:00:00 PM,LAL,PHO,27,29,28,105,117,-3.0,215.0,130,-150,550,549,False
17981,2022,2,Final,10/6/2021 12:00:00 AM,10/6/2021 7:00:00 PM,SA,DET,24,14,14,105,115,2.5,214.5,-148,120,542,541,False
17922,2022,2,Final,10/6/2021 12:00:00 AM,10/6/2021 7:30:00 PM,CLE,ATL,12,3,3,99,96,-3.5,215.5,135,-162,544,543,False
17933,2022,2,Final,10/6/2021 12:00:00 AM,10/6/2021 8:00:00 PM,ORL,NO,5,23,23,86,104,-3.0,218.0,130,-154,546,545,False
17965,2022,2,Final,10/6/2021 12:00:00 AM,10/6/2021 8:30:00 PM,UTA,DAL,17,25,25,101,111,-5.5,216.0,180,-225,548,547,False
17966,2022,2,Final,10/6/2021 12:00:00 AM,10/6/2021 10:00:00 PM,DEN,GS,20,26,51,116,118,-5.0,220.0,170,-208,552,551,False
17980,2022,2,Final,10/6/2021 12:00:00 AM,10/6/2021 10:30:00 PM,SAC,LAC,30,28,27,113,98,-2.0,220.5,105,-125,554,553,False
17934,2022,2,Final,10/7/2021 12:00:00 AM,10/7/2021 7:00:00 PM,MEM,CHA,21,2,2,128,98,1.5,221.5,-125,105,556,555,False
17976,2022,2,Final,10/7/2021 12:00:00 AM,10/7/2021 7:00:00 PM,TOR,PHI,10,7,7,113,125,-5.0,222.0,170,-215,558,557,False
17977,2022,2,Final,10/7/2021 12:00:00 AM,10/7/2021 10:00:00 PM,MIA,HOU,4,22,22,113,106,6.0,224.5,-235,185,560,559,False
17935,2022,2,Final,10/8/2021 12:00:00 AM,10/8/2021 7:00:00 PM,IND,CLE,13,12,12,109,100,4.0,217.0,-170,145,562,561,False
17936,2022,2,Final,10/8/2021 12:00:00 AM,10/8/2021 7:30:00 PM,MIL,BKN,15,8,8,115,119,-11.0,220.5,355,-483,564,563,False
17937,2022,2,Final,10/8/2021 12:00:00 AM,10/8/2021 8:00:00 PM,NO,CHI,23,11,11,85,121,-8.0,226.5,260,-337,566,565,False
