StatID,TeamID,PlayerID,SeasonType,Season,Name,Team,Position,Started,Games,FantasyPoints,Minutes,Seconds,FieldGoalsMade,FieldGoalsAttempted,FieldGoalsPercentage,TwoPointersMade,TwoPointersAttempted,TwoPointersPercentage,ThreePointersMade,ThreePointersAttempted,ThreePointersPercentage,FreeThrowsMade,FreeThrowsAttempted,FreeThrowsPercentage,OffensiveRebounds,DefensiveRebounds,Rebounds,Assists,Steals,BlockedShots,Turnovers,PersonalFouls,Points,FantasyPointsFanDuel,FantasyPointsDraftKings,PlusMinus,DoubleDoubles,TripleDoubles
897659,18,20002562,2,2022,Vit Krejci,OKC,SG,0,0,0.00,0,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
897660,10,20002662,2,2022,Scottie Barnes,TOR,SF,5,5,133.60,131,32,22.00,46.00,47.8,22.00,38.00,57.9,0.00,8.00,0,5.00,7.00,71.4,7.00,16.00,23.00,28.00,6.00,6.00,9.00,17.00,49.00,145.60,139.25,-2.00,0.00,0.00
897661,16,20002685,2,2022,McKinley Wright IV,MIN,PG,0,3,16.70,22,36,1.00,7.00,14.3,0.00,4.00,0,1.00,3.00,33.3,2.00,5.00,40.0,0.00,1.00,1.00,3.00,1.00,2.00,0.00,0.00,5.00,19.70,17.25,5.00,0.00,0.00
897662,17,20002821,2,2022,Derrick Alston Jr.,UTA,PF,0,4,7.90,17,44,1.00,3.00,33.3,1.00,1.00,100,0.00,2.00,0,0.00,0.00,0,0.00,2.00,2.00,1.00,1.00,0.00,0.00,0.00,2.00,8.90,8.00,-3.00,0.00,0.00
897663,18,20000834,2,2022,Derrick Favors,OKC,PF,1,1,14.00,14,38,5.00,7.00,71.4,5.00,6.00,83.3,0.00,1.00,0,0.00,0.00,0,1.00,4.00,5.00,0.00,0.00,0.00,2.00,2.00,10.00,14.00,15.25,0.00,0.00,0.00
897664,24,20001856,2,2022,Derrick White,SA,PG,5,5,115.60,129,48,19.00,56.00,33.9,13.00,29.00,44.8,6.00,27.00,22.2,10.00,13.00,76.9,2.00,21.00,23.00,18.00,3.00,4.00,7.00,12.00,54.00,122.60,123.25,16.00,0.00,0.00
897665,20,20001870,2,2022,Vlatko Cancar,DEN,SF,0,5,49.70,70,4,12.00,24.00,50.0,6.00,11.00,54.5,6.00,13.00,46.2,2.00,2.00,100,2.00,4.00,6.00,5.00,2.00,1.00,3.00,4.00,32.00,52.70,54.50,-13.00,0.00,0.00
897666,16,20002006,2,2022,Josh Okogie,MIN,SG,1,2,40.60,36,3,6.00,9.00,66.7,4.00,5.00,80.0,2.00,4.00,50.0,6.00,7.00,85.7,1.00,2.00,3.00,2.00,4.00,3.00,0.00,4.00,20.00,47.60,41.75,16.00,0.00,0.00
897667,9,20002306,2,2022,Bruno Fernando,BOS,C,0,3,15.50,22,15,3.00,5.00,60.0,3.00,5.00,60.0,0.00,0.00,0,0.00,0.00,0,2.00,3.00,5.00,1.00,0.00,3.00,4.00,2.00,6.00,18.50,17.75,-19.00,0.00,0.00
897668,7,20002706,2,2022,Filip Petrusev,PHI,C,0,0,0.00,0,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
897669,3,20000549,2,2022,Clint Capela,ATL,C,1,1,22.00,12,23,5.00,6.00,83.3,5.00,6.00,83.3,0.00,0.00,0,0.00,1.00,0,3.00,7.00,10.00,0.00,0.00,0.00,0.00,2.00,10.00,22.00,24.00,15.00,1.00,0.00
897670,28,20000617,2,2022,Nicolas Batum,LAC,PF,2,2,17.80,41,8,2.00,9.00,22.2,0.00,2.00,0,2.00,7.00,28.6,0.00,0.00,0,1.00,8.00,9.00,2.00,0.00,0.00,2.00,3.00,6.00,17.80,20.25,-15.00,0.00,0.00
897671,20,20000667,2,2022,Austin Rivers,DEN,PG,1,5,30.60,86,49,5.00,17.00,29.4,3.00,8.00,37.5,2.00,9.00,22.2,4.00,9.00,44.4,2.00,6.00,8.00,4.00,3.00,0.00,7.00,5.00,16.00,33.60,35.50,5.00,0.00,0.00
897672,3,20000800,2,2022,Gorgui Dieng,ATL,C,3,4,66.90,78,11,11.00,20.00,55.0,10.00,15.00,66.7,1.00,5.00,20.0,0.00,0.00,0,4.00,18.00,22.00,9.00,4.00,2.00,8.00,10.00,23.00,72.90,74.00,-5.00,1.00,0.00
897673,28,20000850,2,2022,Eric Bledsoe,LAC,PG,4,4,51.10,68,20,5.00,16.00,31.2,5.00,14.00,35.7,0.00,2.00,0,6.00,7.00,85.7,2.00,6.00,8.00,15.00,3.00,2.00,7.00,6.00,16.00,56.10,55.00,-23.00,0.00,0.00
897674,23,20001671,2,2022,Brandon Ingram,NO,SF,1,1,19.70,22,40,5.00,9.00,55.6,5.00,8.00,62.5,0.00,1.00,0,4.00,4.00,100,0.00,1.00,1.00,3.00,2.00,0.00,4.00,2.00,14.00,21.70,21.75,-10.00,0.00,0.00
897675,30,20001689,2,2022,Damian Jones,SAC,C,0,3,11.10,20,38,2.00,3.00,66.7,2.00,2.00,100,0.00,1.00,0,0.00,0.00,0,1.00,2.00,3.00,3.00,0.00,0.00,1.00,4.00,4.00,11.10,11.75,-21.00,0.00,0.00
897676,29,20001990,2,2022,Deandre Ayton,PHO,C,4,4,87.80,71,27,18.00,33.00,54.5,17.00,29.00,58.6,1.00,4.00,25.0,4.00,4.00,100,7.00,27.00,34.00,4.00,1.00,2.00,6.00,5.00,41.00,90.80,94.50,22.00,1.00,0.00
897677,2,20002003,2,2022,Miles Bridges,CHA,SF,4,4,89.30,89,46,19.00,41.00,46.3,14.00,23.00,60.9,5.00,18.00,27.8,6.00,7.00,85.7,3.00,16.00,19.00,9.00,0.00,3.00,2.00,8.00,49.00,92.30,95.25,-33.00,1.00,0.00
897678,4,20002254,2,2022,Gabe Vincent,MIA,PG,0,4,58.30,76,7,8.00,23.00,34.8,4.00,8.00,50.0,4.00,15.00,26.7,3.00,4.00,75.0,1.00,3.00,4.00,21.00,2.00,1.00,7.00,3.00,23.00,61.30,64.00,-17.00,0.00,0.00
897679,9,20002539,2,2022,Aaron Nesmith,BOS,SF,1,4,59.30,68,17,16.00,30.00,53.3,8.00,14.00,57.1,8.00,16.00,50.0,3.00,3.00,100,2.00,7.00,9.00,5.00,1.00,0.00,4.00,6.00,43.00,60.30,65.75,6.00,0.00,0.00
897680,2,20002557,2,2022,Vernon Carey Jr.,CHA,C,0,3,9.30,19,35,2.00,5.00,40.0,2.00,5.00,40.0,0.00,0.00,0,1.00,2.00,50.0,1.00,3.00,4.00,1.00,0.00,0.00,2.00,1.00,5.00,9.30,10.50,0.00,0.00,0.00
897681,18,20002625,2,2022,Mamadi Diakite,OKC,PF,0,2,15.80,24,21,4.00,9.00,44.4,3.00,7.00,42.9,1.00,2.00,50.0,0.00,2.00,0,1.00,3.00,4.00,0.00,0.00,2.00,2.00,5.00,9.00,17.80,17.50,-26.00,0.00,0.00
897682,2,20002672,2,2022,Kai Jones,CHA,PF,0,4,31.90,44,24,5.00,15.00,33.3,5.00,14.00,35.7,0.00,1.00,0,3.00,10.00,30.0,7.00,5.00,12.00,1.00,1.00,1.00,1.00,4.00,13.00,33.90,33.00,-44.00,0.00,0.00
897683,20,20000697,2,2022,Tarik Black,DEN,PF,0,1,11.80,16,48,1.00,2.00,50.0,1.00,2.00,50.0,0.00,0.00,0,4.00,4.00,100,3.00,1.00,4.00,0.00,1.00,0.00,1.00,2.00,6.00,12.80,12.50,13.00,0.00,0.00
